Where papers came from,Papers,Paper_Name_Short,Was the landscape surrounding each field quantitatively measured at a spatial scale ? 500 m around the crop? (yes or no),Does the study consist of at least five crop fields that are at least 1 km apart from each other (yes or no),Are statistics reported as the univariate (or partial contribution) relationship between landscape composition and vector or vector-borne pathogen response? (yes or no),Was the vector-borne pathogen data collected from the crop?,Include for meta-analysis? (yes or no),"Location (state, country, region). List which one is provided",Croppping system,vector_or_pathogen_mod,"Vector or pathogen group (e.g.,  aphid, virus)",measurement of vector or pathogen (be consistent in naming),measurement_mod,"Grouping or individual vectors or pathogens used for analysis (list species if individual, provide description of group if grouped)",Specialist or generalist,Specialist_generalist_both_mod,Landscape category (original),Landscape_category_mod,Additonal information (not already listed) on why mutiple values (rows) are reported for the same spatial scale and landscape feature,Mode_of_pathogen_transmission,Spatial_scale_m_mod,Source in paper,Sample_size,P value,P_value_adj_1,Test statistic (type),Test statistic (raw),Test statisitc (raw sign edited for analysis),t_z_f_x2,r,AIC,Make note if the relationship was posititve (1) or negative (-1) (for future analysis/conversion),yi_from_ti_ri_pi_1,vi_from_ti_ri_pi_1
WOS or BASE,"Holland, J. M., N. M. McHugh, and F. Salinari. 2021. Field specific monitoring of cereal yellow dwarf virus aphid vectors and factors influencing their immigration within fields. PEST Manag. Sci. 77: 4100–4108.",Holland_et_al_2021,yes,yes,yes,NA,yes,England,winter cereal fields,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,grassland,Natural habitat,,,800,in-text,41,< 0.05,0.05,,,,,,,1,0.318478586,0.026315789
WOS or BASE,"Holland, J. M., N. M. McHugh, and F. Salinari. 2021. Field specific monitoring of cereal yellow dwarf virus aphid vectors and factors influencing their immigration within fields. PEST Manag. Sci. 77: 4100–4108.",Holland_et_al_2021,yes,yes,yes,NA,yes,England,winter cereal fields,vector,aphid,abundance,abundance,Sitobion avenae,specialist,specialist,grassland,Natural habitat,,,800,in-text,41,0.057,0.057,,,,,,,1,0.3091279,0.026315789
WOS or BASE,"Holland, J. M., N. M. McHugh, and F. Salinari. 2021. Field specific monitoring of cereal yellow dwarf virus aphid vectors and factors influencing their immigration within fields. PEST Manag. Sci. 77: 4100–4108.",Holland_et_al_2021,yes,yes,yes,NA,yes,England,winter cereal fields,vector,aphid,abundance,abundance,Rhopalosiphum padi,specialist,specialist,grassland,Natural habitat,,,800,in-text,41,> 0.05,1,,,,,,,1,0,0.026315789
WOS or BASE,"Claflin, S. B., N. Hernandez, R. Groves, J. S. Thaler, and A. G. Power. 2019. Intra-annual variation and landscape composition interactively affect aphid community composition. ECOSPHERE. 10.",Claflin_et_al_2019,yes,yes,yes,NA,yes,New York,potato,vector,aphid,abundance,abundance,undefined vector species for PVY,"Complete species not listed, but likely both generalist and specialist",both,crop,Crop,truncated regression,,500,table s3,58,0.272,0.272,z,-1.1,-1.1,-1.1,,,-1,-0.146469413,0.018181818
WOS or BASE,"Claflin, S. B., N. Hernandez, R. Groves, J. S. Thaler, and A. G. Power. 2019. Intra-annual variation and landscape composition interactively affect aphid community composition. ECOSPHERE. 10.",Claflin_et_al_2019,yes,yes,yes,NA,yes,New York,potato,vector,aphid,abundance,abundance,undefined vector species for PVY,"Complete species not listed, but likely both generalist and specialist",both,crop,Crop,binomial regression,,500,table s3,58,0.787,0.787,z,-0.27,-0.27,-0.27,,,-1,-0.036072444,0.018181818
WOS or BASE,"Claflin, S. B., N. Hernandez, R. Groves, J. S. Thaler, and A. G. Power. 2019. Intra-annual variation and landscape composition interactively affect aphid community composition. ECOSPHERE. 10.",Claflin_et_al_2019,yes,yes,yes,NA,yes,New York,potato,vector,aphid,abundance,abundance,low-transmitting vector species,"Complete species not listed, but likely both generalist and specialist",both,crop,Crop,truncated regression,,500,table s3,58,0.719,0.719,z,0.36,0.36,0.36,,,1,0.048088487,0.018181818
WOS or BASE,"Claflin, S. B., N. Hernandez, R. Groves, J. S. Thaler, and A. G. Power. 2019. Intra-annual variation and landscape composition interactively affect aphid community composition. ECOSPHERE. 10.",Claflin_et_al_2019,yes,yes,yes,NA,yes,New York,potato,vector,aphid,abundance,abundance,low-transmitting vector species,"Complete species not listed, but likely both generalist and specialist",both,crop,Crop,binomial regression,,500,table s3,58,0.181,0.181,z,-1.34,-1.34,-1.34,,,-1,-0.17812165,0.018181818
WOS or BASE,"Claflin, S. B., N. Hernandez, R. Groves, J. S. Thaler, and A. G. Power. 2019. Intra-annual variation and landscape composition interactively affect aphid community composition. ECOSPHERE. 10.",Claflin_et_al_2019,yes,yes,yes,NA,yes,New York,potato,vector,aphid,abundance,abundance,high-transmitting vector species,"Complete species not listed, but likely both generalist and specialist",both,crop,Crop,truncated regression,,500,table s3,58,0.891,0.891,z,0.14,0.14,0.14,,,1,0.018707196,0.018181818
WOS or BASE,"Claflin, S. B., N. Hernandez, R. Groves, J. S. Thaler, and A. G. Power. 2019. Intra-annual variation and landscape composition interactively affect aphid community composition. ECOSPHERE. 10.",Claflin_et_al_2019,yes,yes,yes,NA,yes,New York,potato,vector,aphid,abundance,abundance,high-transmitting vector species,"Complete species not listed, but likely both generalist and specialist",both,crop,Crop,binomial regression,,500,table s3,58,0.35,0.35,z,0.93,0.93,0.93,,,1,0.12395878,0.018181818
WOS or BASE,"Claflin, S. B., N. Hernandez, R. Groves, J. S. Thaler, and A. G. Power. 2019. Intra-annual variation and landscape composition interactively affect aphid community composition. ECOSPHERE. 10.",Claflin_et_al_2019,yes,yes,yes,NA,yes,New York,potato,vector,aphid,abundance,abundance,PVY vector species,"Complete species not listed, but likely both generalist and specialist",both,crop,Crop,truncated regression,,500,table s3,58,0.918,0.918,z,-0.1,-0.1,-0.1,,,-1,-0.013362664,0.018181818
WOS or BASE,"Claflin, S. B., N. Hernandez, R. Groves, J. S. Thaler, and A. G. Power. 2019. Intra-annual variation and landscape composition interactively affect aphid community composition. ECOSPHERE. 10.",Claflin_et_al_2019,yes,yes,yes,NA,yes,New York,potato,vector,aphid,abundance,abundance,PVY vector species,"Complete species not listed, but likely both generalist and specialist",both,crop,Crop,binomial regression,,500,table s3,58,0.57,0.57,z,-0.57,-0.57,-0.57,,,-1,-0.076095992,0.018181818
WOS or BASE,"Angelella, G. M., J. D. Holland, and I. Kaplan. 2016. Landscape composition is more important than local management for crop virus–insect vector interactions. Agric. Ecosyst. Environ. 233: 253–261.",Angelella_et_al_2016,yes,yes,yes,NA,yes,Indiana,pumpkin,vector,aphid,abundance,abundance,Rhopalosiphum padi,specialist,specialist,corn/wheat,Crop,,,1000,fig a2,10,0.048,0.048,z,1.98,1.98,1.98,,,1,0.652695823,0.142857143
WOS or BASE,"Angelella, G. M., J. D. Holland, and I. Kaplan. 2016. Landscape composition is more important than local management for crop virus–insect vector interactions. Agric. Ecosyst. Environ. 233: 253–261.",Angelella_et_al_2016,yes,yes,yes,NA,yes,Indiana,pumpkin,vector,aphid,abundance,abundance,Rhopalosiphum padi,specialist,specialist,soy,Crop,,,1000,fig a2,10,0.015,0.015,z,2.43,2.43,2.43,,,1,0.778181878,0.142857143
WOS or BASE,"Angelella, G. M., J. D. Holland, and I. Kaplan. 2016. Landscape composition is more important than local management for crop virus–insect vector interactions. Agric. Ecosyst. Environ. 233: 253–261.",Angelella_et_al_2016,yes,yes,yes,NA,yes,Indiana,pumpkin,vector,aphid,abundance,abundance,Aphis craccivora,generalist,generalist,corn/wheat,Crop,,,3000,fig a3,15,0.017,0.017,z,2.38,2.38,2.38,,,1,0.619667396,0.083333333
WOS or BASE,"Angelella, G. M., J. D. Holland, and I. Kaplan. 2016. Landscape composition is more important than local management for crop virus–insect vector interactions. Agric. Ecosyst. Environ. 233: 253–261.",Angelella_et_al_2016,yes,yes,yes,NA,yes,Indiana,pumpkin,vector,aphid,abundance,abundance,Therioaphis trifolii,specialist,specialist,alfalfa,Crop,,,3000,fig a3,15,0.028,0.028,z,2.19,2.19,2.19,,,1,0.575157172,0.083333333
WOS or BASE,"Angelella, G. M., J. D. Holland, and I. Kaplan. 2016. Landscape composition is more important than local management for crop virus–insect vector interactions. Agric. Ecosyst. Environ. 233: 253–261.",Angelella_et_al_2016,yes,yes,yes,NA,yes,Indiana,pumpkin,vector,aphid,abundance,abundance,noncolonizers for pumpkin,Not completely specified likely both,both,corn/wheat,Crop,,,4000,fig a4,15,< 0.001,0.001,z,5.34,5.34,5.34,,,1,1.184205205,0.083333333
WOS or BASE,"Angelella, G. M., J. D. Holland, and I. Kaplan. 2016. Landscape composition is more important than local management for crop virus–insect vector interactions. Agric. Ecosyst. Environ. 233: 253–261.",Angelella_et_al_2016,yes,yes,yes,NA,yes,Indiana,pumpkin,vector,aphid,abundance,abundance,noncolonizers for pumpkin,Not completely specified likely both,both,forest/shrubland,Natural habitat,,,4000,fig a4,15,0.0024,0.0024,z,-3.03,-3.03,-3.03,,,-1,-0.763883117,0.083333333
WOS or BASE,"Angelella, G. M., J. D. Holland, and I. Kaplan. 2016. Landscape composition is more important than local management for crop virus–insect vector interactions. Agric. Ecosyst. Environ. 233: 253–261.",Angelella_et_al_2016,yes,yes,yes,NA,yes,Indiana,pumpkin,vector,aphid,abundance,abundance,noncolonizers for pumpkin,Not completely specified likely both,both,pasture/hay/grassland,Natural habitat,,,4000,fig a4,15,0.0052,0.0052,z,-2.79,-2.79,-2.79,,,-1,-0.712083885,0.083333333
WOS or BASE,"G., S., T. G., S. F., M. N., M. L., G. Santoiemma, G. Tamburini, F. Sanna, N. Mori, and L. Marini. 2019. Landscape composition predicts the distribution of Philaenus spumarius, vector of Xylella fastidiosa, in olive groves. J. Pest Sci. (2004). 92: 1101–1109.", Santoiemma_et_al_2019,yes,yes,yes,NA,yes,Italy,olive groves,vector,spittlebug,abundance,abundance,Philaenus spumarius,generalist,generalist,grassland,Natural habitat,,,500,table 2,182,0.0226,0.0226,z,2.28,2.28,2.28,,,1,0.169133634,0.005586592
WOS or BASE,"G., S., T. G., S. F., M. N., M. L., G. Santoiemma, G. Tamburini, F. Sanna, N. Mori, and L. Marini. 2019. Landscape composition predicts the distribution of Philaenus spumarius, vector of Xylella fastidiosa, in olive groves. J. Pest Sci. (2004). 92: 1101–1109.", Santoiemma_et_al_2019,yes,yes,yes,NA,yes,Italy,olive groves,vector,spittlebug,abundance,abundance,Philaenus spumarius,generalist,generalist,olive,Crop,,,500,table 2,182,0.0012,0.0012,z,3.229,3.229,3.229,,,1,0.238410498,0.005586592
WOS or BASE,"G., S., T. G., S. F., M. N., M. L., G. Santoiemma, G. Tamburini, F. Sanna, N. Mori, and L. Marini. 2019. Landscape composition predicts the distribution of Philaenus spumarius, vector of Xylella fastidiosa, in olive groves. J. Pest Sci. (2004). 92: 1101–1109.", Santoiemma_et_al_2019,yes,yes,yes,NA,yes,Italy,olive groves,vector,spittlebug,abundance,abundance,Philaenus spumarius,generalist,generalist,crop,Crop,,,500,table 2,182,0.0586,0.0586,z,1.891,1.891,1.891,,,1,0.140484266,0.005586592
WOS or BASE,"G., S., T. G., S. F., M. N., M. L., G. Santoiemma, G. Tamburini, F. Sanna, N. Mori, and L. Marini. 2019. Landscape composition predicts the distribution of Philaenus spumarius, vector of Xylella fastidiosa, in olive groves. J. Pest Sci. (2004). 92: 1101–1109.", Santoiemma_et_al_2019,yes,yes,yes,NA,yes,Italy,olive groves,vector,spittlebug,abundance,abundance,Philaenus spumarius,generalist,generalist,vineyard,Crop,,,500,table 2,182,0.1815,0.1815,z,-1.336,-1.336,-1.336,,,-1,-0.099415717,0.005586592
WOS or BASE,"G., S., T. G., S. F., M. N., M. L., G. Santoiemma, G. Tamburini, F. Sanna, N. Mori, and L. Marini. 2019. Landscape composition predicts the distribution of Philaenus spumarius, vector of Xylella fastidiosa, in olive groves. J. Pest Sci. (2004). 92: 1101–1109.", Santoiemma_et_al_2019,yes,yes,yes,NA,yes,Italy,olive groves,vector,spittlebug,abundance,abundance,Philaenus spumarius,generalist,generalist,grassland,Natural habitat,,,1000,table 2,182,0.18,0.18,z,1.331,1.331,1.331,,,1,0.099044867,0.005586592
WOS or BASE,"G., S., T. G., S. F., M. N., M. L., G. Santoiemma, G. Tamburini, F. Sanna, N. Mori, and L. Marini. 2019. Landscape composition predicts the distribution of Philaenus spumarius, vector of Xylella fastidiosa, in olive groves. J. Pest Sci. (2004). 92: 1101–1109.", Santoiemma_et_al_2019,yes,yes,yes,NA,yes,Italy,olive groves,vector,spittlebug,abundance,abundance,Philaenus spumarius,generalist,generalist,olive,Crop,,,1000,table 2,182,0.0517,0.0517,z,1.946,1.946,1.946,,,1,0.144542441,0.005586592
WOS or BASE,"G., S., T. G., S. F., M. N., M. L., G. Santoiemma, G. Tamburini, F. Sanna, N. Mori, and L. Marini. 2019. Landscape composition predicts the distribution of Philaenus spumarius, vector of Xylella fastidiosa, in olive groves. J. Pest Sci. (2004). 92: 1101–1109.", Santoiemma_et_al_2019,yes,yes,yes,NA,yes,Italy,olive groves,vector,spittlebug,abundance,abundance,Philaenus spumarius,generalist,generalist,crop,Crop,,,1000,table 2,182,0.2153,0.2153,z,1.239,1.239,1.239,,,1,0.092218842,0.005586592
WOS or BASE,"G., S., T. G., S. F., M. N., M. L., G. Santoiemma, G. Tamburini, F. Sanna, N. Mori, and L. Marini. 2019. Landscape composition predicts the distribution of Philaenus spumarius, vector of Xylella fastidiosa, in olive groves. J. Pest Sci. (2004). 92: 1101–1109.", Santoiemma_et_al_2019,yes,yes,yes,NA,yes,Italy,olive groves,vector,spittlebug,abundance,abundance,Philaenus spumarius,generalist,generalist,vineyard,Crop,,,1000,table 2,182,0.0304,0.0304,z,-2.165,-2.165,-2.165,,,-1,-0.160677306,0.005586592
WOS or BASE,"G., S., T. G., S. F., M. N., M. L., G. Santoiemma, G. Tamburini, F. Sanna, N. Mori, and L. Marini. 2019. Landscape composition predicts the distribution of Philaenus spumarius, vector of Xylella fastidiosa, in olive groves. J. Pest Sci. (2004). 92: 1101–1109.", Santoiemma_et_al_2019,yes,yes,yes,NA,yes,Italy,olive groves,vector,spittlebug,presence_absence,incidence,Philaenus spumarius,generalist,generalist,grassland,Natural habitat,,,500,table 1,182,0.157,0.157,z,1.415,1.415,1.415,,,1,0.105273317,0.005586592
WOS or BASE,"G., S., T. G., S. F., M. N., M. L., G. Santoiemma, G. Tamburini, F. Sanna, N. Mori, and L. Marini. 2019. Landscape composition predicts the distribution of Philaenus spumarius, vector of Xylella fastidiosa, in olive groves. J. Pest Sci. (2004). 92: 1101–1109.", Santoiemma_et_al_2019,yes,yes,yes,NA,yes,Italy,olive groves,vector,spittlebug,presence_absence,incidence,Philaenus spumarius,generalist,generalist,olive,Crop,,,500,table 1,182,0.0029,0.0029,z,2.977,2.977,2.977,,,1,0.220110819,0.005586592
WOS or BASE,"G., S., T. G., S. F., M. N., M. L., G. Santoiemma, G. Tamburini, F. Sanna, N. Mori, and L. Marini. 2019. Landscape composition predicts the distribution of Philaenus spumarius, vector of Xylella fastidiosa, in olive groves. J. Pest Sci. (2004). 92: 1101–1109.", Santoiemma_et_al_2019,yes,yes,yes,NA,yes,Italy,olive groves,vector,spittlebug,presence_absence,incidence,Philaenus spumarius,generalist,generalist,crop,Crop,,,500,table 1,182,0.2061,0.2061,z,1.264,1.264,1.264,,,1,0.094074177,0.005586592
WOS or BASE,"G., S., T. G., S. F., M. N., M. L., G. Santoiemma, G. Tamburini, F. Sanna, N. Mori, and L. Marini. 2019. Landscape composition predicts the distribution of Philaenus spumarius, vector of Xylella fastidiosa, in olive groves. J. Pest Sci. (2004). 92: 1101–1109.", Santoiemma_et_al_2019,yes,yes,yes,NA,yes,Italy,olive groves,vector,spittlebug,presence_absence,incidence,Philaenus spumarius,generalist,generalist,vineyard,Crop,,,500,table 1,182,0.1247,0.1247,z,-1.535,-1.535,-1.535,,,-1,-0.114163992,0.005586592
WOS or BASE,"G., S., T. G., S. F., M. N., M. L., G. Santoiemma, G. Tamburini, F. Sanna, N. Mori, and L. Marini. 2019. Landscape composition predicts the distribution of Philaenus spumarius, vector of Xylella fastidiosa, in olive groves. J. Pest Sci. (2004). 92: 1101–1109.", Santoiemma_et_al_2019,yes,yes,yes,NA,yes,Italy,olive groves,vector,spittlebug,presence_absence,incidence,Philaenus spumarius,generalist,generalist,grassland,Natural habitat,,,1000,table 1,182,0.7046,0.7046,z,0.379,0.379,0.379,,,1,0.028245236,0.005586592
WOS or BASE,"G., S., T. G., S. F., M. N., M. L., G. Santoiemma, G. Tamburini, F. Sanna, N. Mori, and L. Marini. 2019. Landscape composition predicts the distribution of Philaenus spumarius, vector of Xylella fastidiosa, in olive groves. J. Pest Sci. (2004). 92: 1101–1109.", Santoiemma_et_al_2019,yes,yes,yes,NA,yes,Italy,olive groves,vector,spittlebug,presence_absence,incidence,Philaenus spumarius,generalist,generalist,olive,Crop,,,1000,table 1,182,0.0692,0.0692,z,1.817,1.817,1.817,,,1,0.13502056,0.005586592
WOS or BASE,"G., S., T. G., S. F., M. N., M. L., G. Santoiemma, G. Tamburini, F. Sanna, N. Mori, and L. Marini. 2019. Landscape composition predicts the distribution of Philaenus spumarius, vector of Xylella fastidiosa, in olive groves. J. Pest Sci. (2004). 92: 1101–1109.", Santoiemma_et_al_2019,yes,yes,yes,NA,yes,Italy,olive groves,vector,spittlebug,presence_absence,incidence,Philaenus spumarius,generalist,generalist,crop,Crop,,,1000,table 1,182,0.2711,0.2711,z,1.1,1.1,1.1,,,1,0.081897578,0.005586592
WOS or BASE,"G., S., T. G., S. F., M. N., M. L., G. Santoiemma, G. Tamburini, F. Sanna, N. Mori, and L. Marini. 2019. Landscape composition predicts the distribution of Philaenus spumarius, vector of Xylella fastidiosa, in olive groves. J. Pest Sci. (2004). 92: 1101–1109.", Santoiemma_et_al_2019,yes,yes,yes,NA,yes,Italy,olive groves,vector,spittlebug,presence_absence,incidence,Philaenus spumarius,generalist,generalist,vineyard,Crop,,,1000,table 1,182,0.0205,0.0205,z,-2.317,-2.317,-2.317,,,-1,-0.171851848,0.005586592
WOS or BASE,"Nissinen, A. I., L. Jauhiainen, H. Ojanen, M. Haapalainen, A. Virtanen, and W. van der Werf. 2022. Landscape epidemiology of an insect-vectored plant-pathogenic bacterium: Candidatus Liberibacter solanacearum in carrots in Finland. Agric. Ecosyst. Environ. 339.",Nissinen_et_al_2022,yes,yes,yes,yes,yes,Finland,Carrot,pathogen,bacteria,presence_absence,incidence,Candidatus Liberibacter solanacearum (CLso),generalist,generalist,carrot,Crop,,persistent,500,table 1,104,0.35,0.35,,,,,,,1,0.092831586,0.00990099
WOS or BASE,"Nissinen, A. I., L. Jauhiainen, H. Ojanen, M. Haapalainen, A. Virtanen, and W. van der Werf. 2022. Landscape epidemiology of an insect-vectored plant-pathogenic bacterium: Candidatus Liberibacter solanacearum in carrots in Finland. Agric. Ecosyst. Environ. 339.",Nissinen_et_al_2022,yes,yes,yes,yes,yes,Finland,Carrot,pathogen,bacteria,presence_absence,incidence,Candidatus Liberibacter solanacearum (CLso),generalist,generalist,carrot,Crop,,persistent,1000,table 1,104,0.71,0.71,,,,,,,1,0.036913772,0.00990099
WOS or BASE,"Nissinen, A. I., L. Jauhiainen, H. Ojanen, M. Haapalainen, A. Virtanen, and W. van der Werf. 2022. Landscape epidemiology of an insect-vectored plant-pathogenic bacterium: Candidatus Liberibacter solanacearum in carrots in Finland. Agric. Ecosyst. Environ. 339.",Nissinen_et_al_2022,yes,yes,yes,yes,yes,Finland,Carrot,pathogen,bacteria,presence_absence,incidence,Candidatus Liberibacter solanacearum (CLso),generalist,generalist,carrot,Crop,,persistent,2000,table 1,104,0.15,0.15,,,,,,,1,0.143127244,0.00990099
WOS or BASE,"Nissinen, A. I., L. Jauhiainen, H. Ojanen, M. Haapalainen, A. Virtanen, and W. van der Werf. 2022. Landscape epidemiology of an insect-vectored plant-pathogenic bacterium: Candidatus Liberibacter solanacearum in carrots in Finland. Agric. Ecosyst. Environ. 339.",Nissinen_et_al_2022,yes,yes,yes,yes,yes,Finland,Carrot,pathogen,bacteria,presence_absence,incidence,Candidatus Liberibacter solanacearum (CLso),generalist,generalist,carrot,Crop,,persistent,3000,table 1,104,< 0.01,0.01,,,,,,,1,0.257062454,0.00990099
WOS or BASE,"Nissinen, A. I., L. Jauhiainen, H. Ojanen, M. Haapalainen, A. Virtanen, and W. van der Werf. 2022. Landscape epidemiology of an insect-vectored plant-pathogenic bacterium: Candidatus Liberibacter solanacearum in carrots in Finland. Agric. Ecosyst. Environ. 339.",Nissinen_et_al_2022,yes,yes,yes,yes,yes,Finland,Carrot,pathogen,bacteria,presence_absence,incidence,Candidatus Liberibacter solanacearum (CLso),generalist,generalist,carrot,Crop,,persistent,4000,table 1,104,< 0.001,0.001,,,,,,,1,0.32951388,0.00990099
WOS or BASE,"Nissinen, A. I., L. Jauhiainen, H. Ojanen, M. Haapalainen, A. Virtanen, and W. van der Werf. 2022. Landscape epidemiology of an insect-vectored plant-pathogenic bacterium: Candidatus Liberibacter solanacearum in carrots in Finland. Agric. Ecosyst. Environ. 339.",Nissinen_et_al_2022,yes,yes,yes,yes,yes,Finland,Carrot,pathogen,bacteria,presence_absence,incidence,Candidatus Liberibacter solanacearum (CLso),generalist,generalist,carrot,Crop,,persistent,5000,table 1,104,< 0.001,0.001,,,,,,,1,0.32951388,0.00990099
WOS or BASE,"Nissinen, A. I., L. Jauhiainen, H. Ojanen, M. Haapalainen, A. Virtanen, and W. van der Werf. 2022. Landscape epidemiology of an insect-vectored plant-pathogenic bacterium: Candidatus Liberibacter solanacearum in carrots in Finland. Agric. Ecosyst. Environ. 339.",Nissinen_et_al_2022,yes,yes,yes,yes,yes,Finland,Carrot,pathogen,bacteria,presence_absence,incidence,Candidatus Liberibacter solanacearum (CLso),generalist,generalist,carrot,Crop,,persistent,10000,table 1,104,< 0.001,0.001,,,,,,,1,0.32951388,0.00990099
WOS or BASE,"Nissinen, A. I., L. Jauhiainen, H. Ojanen, M. Haapalainen, A. Virtanen, and W. van der Werf. 2022. Landscape epidemiology of an insect-vectored plant-pathogenic bacterium: Candidatus Liberibacter solanacearum in carrots in Finland. Agric. Ecosyst. Environ. 339.",Nissinen_et_al_2022,yes,yes,yes,yes,yes,Finland,Carrot,pathogen,bacteria,presence_absence,incidence,Candidatus Liberibacter solanacearum (CLso),generalist,generalist,spruce branch (overwintering tree host),Natural habitat,,persistent,500,table 2,104,0.02,0.02,,,,,,,1,0.231932779,0.00990099
WOS or BASE,"Nissinen, A. I., L. Jauhiainen, H. Ojanen, M. Haapalainen, A. Virtanen, and W. van der Werf. 2022. Landscape epidemiology of an insect-vectored plant-pathogenic bacterium: Candidatus Liberibacter solanacearum in carrots in Finland. Agric. Ecosyst. Environ. 339.",Nissinen_et_al_2022,yes,yes,yes,yes,yes,Finland,Carrot,pathogen,bacteria,presence_absence,incidence,Candidatus Liberibacter solanacearum (CLso),generalist,generalist,spruce branch (overwintering tree host),Natural habitat,,persistent,1000,table 2,104,0.04,0.04,,,,,,,1,0.204555346,0.00990099
WOS or BASE,"Nissinen, A. I., L. Jauhiainen, H. Ojanen, M. Haapalainen, A. Virtanen, and W. van der Werf. 2022. Landscape epidemiology of an insect-vectored plant-pathogenic bacterium: Candidatus Liberibacter solanacearum in carrots in Finland. Agric. Ecosyst. Environ. 339.",Nissinen_et_al_2022,yes,yes,yes,yes,yes,Finland,Carrot,pathogen,bacteria,presence_absence,incidence,Candidatus Liberibacter solanacearum (CLso),generalist,generalist,spruce branch (overwintering tree host),Natural habitat,,persistent,2000,table 2,104,0.03,0.03,,,,,,,1,0.216229939,0.00990099
WOS or BASE,"Vaidya, C., M. Cruz, R. Kuesel, D. J. Gonthier, A. Iverson, K. K. Ennis, and I. Perfecto. 2017. Local and Landscape Constraints on Coffee Leafhopper (Hemiptera: Cicadellidae) Diversity. J. INSECT Sci. 17.",Vaidya_et_al_2017,yes,yes,yes,NA,yes,Mexico,coffee,vector,leafhopper,abundance,abundance,multiple species - not specified,"Species not listed, but likely both generalist and specialist",both,coffee,Crop,,,1000,table 2,38,0.0163,0.0163,z,2.57,2.57,2.57,,,1,0.416211921,0.028571429
WOS or BASE,"Vaidya, C., M. Cruz, R. Kuesel, D. J. Gonthier, A. Iverson, K. K. Ennis, and I. Perfecto. 2017. Local and Landscape Constraints on Coffee Leafhopper (Hemiptera: Cicadellidae) Diversity. J. INSECT Sci. 17.",Vaidya_et_al_2017,yes,yes,yes,NA,yes,Mexico,coffee,vector,leafhopper,abundance,abundance,Sibovia sp. ,"Species not listed, but likely both generalist and specialist",both,coffee,Crop,,,1000,table 3,38,0.02511,0.02511,z,2.24,2.24,2.24,,,1,0.365163628,0.028571429
WOS or BASE,"Vaidya, C., M. Cruz, R. Kuesel, D. J. Gonthier, A. Iverson, K. K. Ennis, and I. Perfecto. 2017. Local and Landscape Constraints on Coffee Leafhopper (Hemiptera: Cicadellidae) Diversity. J. INSECT Sci. 17.",Vaidya_et_al_2017,yes,yes,yes,NA,yes,Mexico,coffee,vector,leafhopper,abundance,abundance,Agallia sp. 1 ,"Species not listed, but likely both generalist and specialist",both,Habitat diversity (Shannon’s Index) ,Diversity,,,1000,table 3,38,0.01842,0.01842,z,-2.36,-2.36,-2.36,,,-1,-0.383838384,0.028571429
WOS or BASE,"Vaidya, C., M. Cruz, R. Kuesel, D. J. Gonthier, A. Iverson, K. K. Ennis, and I. Perfecto. 2017. Local and Landscape Constraints on Coffee Leafhopper (Hemiptera: Cicadellidae) Diversity. J. INSECT Sci. 17.",Vaidya_et_al_2017,yes,yes,yes,NA,yes,Mexico,coffee,vector,leafhopper,abundance,abundance,Agallia sp. 2 ,"Species not listed, but likely both generalist and specialist",both,Habitat diversity (Shannon’s Index) ,Diversity,,,1000,table 3,38,0.00257,0.00257,z,-3.01,-3.01,-3.01,,,-1,-0.48270204,0.028571429
WOS or BASE,"Vaidya, C., M. Cruz, R. Kuesel, D. J. Gonthier, A. Iverson, K. K. Ennis, and I. Perfecto. 2017. Local and Landscape Constraints on Coffee Leafhopper (Hemiptera: Cicadellidae) Diversity. J. INSECT Sci. 17.",Vaidya_et_al_2017,yes,yes,yes,NA,yes,Mexico,coffee,vector,leafhopper,abundance,abundance,Agallia sp. 2 ,"Species not listed, but likely both generalist and specialist",both,Forest,Natural habitat,,,1000,table 3,38,0.1132,0.1132,z,-1.58,-1.58,-1.58,,,-1,-0.26038111,0.028571429
WOS or BASE,"Clemente-Orta, G., R. Albajes, I. Batuecas, and M. A. Achon. 2021. Planting period is the main factor for controlling maize rough dwarf disease. Sci. Rep. 11.",Clemente_Orta_et_al_2021,yes,yes,yes,yes,yes,Spain,"alfalfa felds, maize felds and orchards",pathogen,virus,incidence (one collection each year - ELISA),incidence,Maize rough dwarf virus (MRDV),specialist,specialist,edges,Natural habitat,,persistent,500,fig 1,46,< 0.05,0.05,,,,,,,1,0.299337758,0.023255814
WOS or BASE,"Clemente-Orta, G., R. Albajes, I. Batuecas, and M. A. Achon. 2021. Planting period is the main factor for controlling maize rough dwarf disease. Sci. Rep. 11.",Clemente_Orta_et_al_2021,yes,yes,yes,yes,yes,Spain,"alfalfa felds, maize felds and orchards",pathogen,virus,incidence (one collection each year - ELISA),incidence,Maize rough dwarf virus (MRDV),specialist,specialist,winter cereals,Crop,,persistent,500,fig 1,46,< 0.05,0.05,,,,,,,-1,0.299337758,0.023255814
